acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,liked
0.000122,0.458,0.943,0.855,B,0.242,-8.321,major,0.0496,145.988,4,0.339,True
0.0243,0.829,0.722,0.741,B,0.126,-11.766,minor,0.256,140.02,4,0.429,True
0.034,0.653,0.589,0.819,G#,0.106,-12.055,major,0.0591,150.009,4,0.0935,True
0.000035,0.57,0.956,0.877,F#,0.118,-6.259,major,0.0377,144.01,4,0.386,True
0.000823,0.589,0.945,0.811,A,0.0888,-5.377,minor,0.0611,150.024,4,0.44,True
0.00158,0.496,0.753,0.00327,G#,0.407,-6.253,minor,0.0663,150.351,4,0.141,True
0.00358,0.674,0.913,0.448,F#,0.33,-9.113,minor,0.0581,89.986,4,0.188,True
0.185,0.648,0.952,0.0108,F#,0.807,-4.68,minor,0.164,150.025,4,0.246,True
0.00853,0.742,0.907,0.202,G,0.113,-5.105,major,0.064,159.981,4,0.54,True
0.000156,0.396,0.964,0.479,A#,0.114,-6.776,minor,0.0708,147.506,4,0.396,True
0.000585,0.321,0.953,0.000068,C#,0.0813,-5.657,major,0.463,147.776,4,0.14,True
0.00693,0.431,0.861,0.000002,D#,0.325,-4.942,minor,0.0491,159.946,4,0.0395,True
0.00498,0.659,0.913,0.00399,C#,0.101,-4.236,major,0.0531,150.002,4,0.579,True
0.00938,0.604,0.938,0.000006,C#,0.243,-2.527,minor,0.0703,150.001,4,0.476,True
0.00505,0.668,0.911,0.000126,E,0.327,-4.157,minor,0.0593,150.03,4,0.655,True
0.000294,0.561,0.846,0.21,B,0.329,-5.642,minor,0.18,128.044,4,0.132,True
0.118,0.599,0.752,0.936,D,0.106,-12.346,major,0.0389,95.511,4,0.106,True
0.0713,0.708,0.819,0.915,F#,0.0979,-6.539,major,0.0868,138.031,4,0.111,True
0.0202,0.317,0.879,0.000041,G#,0.266,-3.642,minor,0.116,160.024,4,0.579,True
0.000079,0.716,0.854,0.944,C#,0.054,-6.413,major,0.0757,157.966,4,0.302,True
0.00295,0.592,0.997,0.0855,G,0.393,-4.414,major,0.0798,149.995,4,0.239,True
0.025,0.505,0.988,0.000149,A,0.133,-1.646,minor,0.0567,97.481,4,0.106,True
0.306,0.713,1,0.0171,A,0.389,-1.753,major,0.295,155.026,4,0.197,True
0.0961,0.468,0.974,0.000611,F#,0.525,-0.585,minor,0.161,114.849,4,0.226,True
0.0622,0.567,0.791,0.0117,F,0.112,-4.631,minor,0.0772,149.898,4,0.16,True
0.00356,0.244,0.692,0.000009,A,0.12,-6.225,minor,0.0536,149.673,4,0.0993,True
0.0545,0.434,0.87,0,E,0.0978,-2.474,minor,0.0612,154.999,4,0.0383,True
0.0261,0.487,0.939,0,G#,0.0699,-3.182,minor,0.268,155.06,4,0.156,True
0.0139,0.533,0.956,0.000191,G#,0.0978,-4.588,major,0.118,160.025,4,0.361,True
0.019,0.583,0.906,0.000469,B,0.331,-3.081,minor,0.081,159.975,4,0.355,True
0.178,0.304,0.994,0.000689,G,0.462,-2.838,major,0.482,177.989,4,0.054,True
0.492,0.404,0.927,0.046,C,0.344,-3.159,major,0.595,179.999,4,0.0716,True
0.0828,0.34,0.954,0.566,F#,0.173,-3.576,minor,0.11,169.924,3,0.196,True
0.00286,0.463,0.987,0.701,A#,0.26,-2.624,minor,0.295,175.059,4,0.0729,True
0.0178,0.321,0.994,0.00189,C,0.319,-2.208,major,0.295,172.261,4,0.0933,True
0.228,0.283,0.954,0,A#,0.431,-0.991,minor,0.117,75.589,4,0.25,True
0.00316,0.647,0.938,0.847,F#,0.28,-5.13,minor,0.122,149.97,4,0.366,True
0.00172,0.668,0.682,0.708,A#,0.0855,-7.661,minor,0.0725,170.006,4,0.384,True
0.179,0.66,0.838,0.927,F#,0.0933,-7.822,minor,0.0567,185.022,4,0.0373,True
0.135,0.595,0.925,0.754,G,0.0985,-8.024,major,0.0513,95.011,4,0.305,True
0.131,0.702,0.947,0.63,G#,0.112,-4.032,major,0.0537,177.383,4,0.417,True
0.0269,0.632,0.912,0.684,A,0.0654,-7.586,minor,0.0365,138.035,4,0.323,True
0.0332,0.859,0.812,0.00751,B,0.302,-7.627,minor,0.268,160.036,4,0.676,True
0.145,0.584,0.869,0.761,G,0.115,-10.969,major,0.0445,151.985,4,0.41,True
0.0325,0.637,0.645,0.865,E,0.122,-6.402,minor,0.0663,155.026,4,0.175,True
0.00994,0.666,0.981,0.756,F#,0.314,-3.352,major,0.122,150.017,4,0.0945,True
0.0238,0.464,0.97,0,D,0.256,-2.544,major,0.208,94.783,4,0.289,True
0.00277,0.55,0.979,0.0501,F#,0.62,-0.75,minor,0.107,95.048,4,0.0781,True
0.0168,0.396,0.727,0.0114,G#,0.712,-6.834,major,0.0442,74.927,4,0.285,False
0.00171,0.292,0.947,0.593,C#,0.191,-4.449,major,0.0906,150.101,4,0.0859,False
0.00117,0.621,0.897,0.611,G#,0.0788,-6.575,major,0.0658,162.031,4,0.93,False
0.0535,0.643,0.916,0.0011,D,0.32,-7.076,major,0.0475,91.025,4,0.433,False
0.00239,0.599,0.988,0.0695,C#,0.0794,-1.55,major,0.292,155.022,4,0.364,False
0.0131,0.562,0.899,0.589,G,0.203,-4.636,minor,0.0397,150,4,0.298,False
0.273,0.662,0.982,0.0367,B,0.0607,-1.7,minor,0.0692,149.995,4,0.855,False
0.0053,0.467,0.981,0.898,C#,0.222,-3.37,minor,0.0485,149.955,4,0.609,False
0.00348,0.653,0.956,0.686,E,0.0834,-8.236,minor,0.144,140.006,4,0.0366,False
0.000445,0.614,0.99,0.872,B,0.706,-2.732,minor,0.347,148.052,4,0.108,False
0.000242,0.665,0.973,0.0465,C#,0.194,-3.807,major,0.435,155.003,4,0.155,False
0.187,0.552,0.829,0.000054,F#,0.283,-4.988,minor,0.0845,150.039,4,0.367,False
0.000899,0.482,0.977,0.000002,G,0.367,-2.13,major,0.432,154.992,4,0.325,False
0.013,0.684,0.991,0.00521,C#,0.0818,-3.694,major,0.257,154.941,4,0.191,False
0.15,0.242,0.756,0.282,G,0.0889,-3.162,major,0.0635,92.821,4,0.0393,False
0.057,0.437,0.931,0,D#,0.347,-1.232,minor,0.0639,77.496,4,0.315,False
0.0044,0.515,0.94,0.000011,A,0.23,-2.452,minor,0.0478,150.051,4,0.284,False
0.00706,0.473,0.912,0.000065,F,0.157,-3.235,major,0.0292,155.021,4,0.328,False
0.0196,0.204,0.817,0.000029,A,0.0678,-3.706,minor,0.0505,149.686,4,0.195,False
0.135,0.57,0.986,0.000001,A,0.329,-2.78,major,0.168,150.114,4,0.529,False
0.297,0.352,0.844,0.422,B,0.0951,-5.711,minor,0.0701,74.851,4,0.0445,False
0.00376,0.504,0.728,0,B,0.14,-5.089,minor,0.0334,150.011,3,0.116,False
0.125,0.329,0.968,0,F,0.169,-2.636,minor,0.345,155.03,4,0.146,False
0.00473,0.501,0.993,0.902,C#,0.147,-5.502,major,0.0802,150.05,4,0.451,False
0.0153,0.55,0.987,0.878,A,0.067,-4.485,minor,0.13,149.966,4,0.0672,False
0.00227,0.43,0.963,0.0698,G,0.735,-3.414,major,0.192,95.244,4,0.13,False
0.0107,0.579,0.998,0.219,A,0.126,-0.792,major,0.215,100.034,4,0.157,False
0.0159,0.624,0.974,0.00244,F,0.285,-2.922,minor,0.214,105.06,4,0.152,False
0.00365,0.549,0.989,0.736,C#,0.41,-3.636,major,0.287,179.908,4,0.111,False
0.0175,0.599,0.988,0.0489,B,0.717,-2.984,major,0.459,100.033,4,0.244,False
0.0637,0.573,0.961,0.284,F#,0.248,-0.421,minor,0.116,180.083,4,0.289,False
0.0287,0.192,0.564,0.574,C#,0.149,-5.447,major,0.0546,169.9,4,0.0772,False
